按照开盘价排序,日期:20210616
序号,股票代码,股票名称,开盘价,收盘价,涨跌幅
1,cn_600519,贵州茅台,2192,2158,-1.60%
2,cn_300896,爱美客,650.87,614,-5.66%
3,cn_300782,卓胜微,478.29,456,-4.66%
4,cn_300750,宁德时代,440.91,420.18,-5.58%
5,cn_000661,长春高新,408.46,400.37,-1.98%
6,cn_600436,片仔癀,399.18,399.6,0.06%
7,cn_300454,深信服,263.02,257,-2.97%
8,cn_688363,华熙生物,236,223.99,-4.97%
9,cn_002594,比亚迪,226,211,-9.18%
10,cn_300122,智飞生物,184.38,180,-2.54%
11,cn_603259,药明康德,144.03,136,-5.53%
12,cn_002049,紫光国微,142.3,132.11,-6.19%
13,cn_603288,海天味业,131.85,133.9,1.86%
14,cn_600309,万华化学,115.1,110.01,-4.11%
15,cn_000538,云南白药,108.17,107.65,0.39%
16,cn_300033,同花顺,107,106.89,-0.17%
17,cn_601012,隆基股份,104.76,100.63,-5.07%
18,cn_600745,闻泰科技,96.35,92.29,-3.23%
19,cn_300015,爱尔眼科,85,81.07,-4.51%
20,cn_603899,晨光文具,81.9,80.5,-1.71%
21,cn_601100,恒立液压,75.27,73.42,-2.51%
22,cn_000333,美的集团,73.9,75,2.40%
23,cn_300413,芒果超媒,73.59,69.9,-4.90%
24,cn_002179,中航光电,73,72.5,-0.44%
25,cn_600276,恒瑞医药,71.88,70.81,-1.49%
26,cn_002032,苏泊尔,66.88,66.5,0.00%
27,cn_002415,海康威视,60.5,58.68,-3.36%
28,cn_002230,科大讯飞,60.01,58.58,-1.63%
29,cn_600660,福耀玻璃,57.6,54.24,-5.93%
30,cn_600612,老凤祥,56.7,54.3,-3.36%
31,cn_000651,格力电器,55.39,55.18,-0.34%
32,cn_688981,中芯国际,54.99,55.05,0.09%
33,cn_600036,招商银行,54.8,55.6,1.46%
34,cn_603005,晶方科技,49.8,47.38,-4.80%
35,cn_603719,良品铺子,46.17,45.77,-1.72%
36,cn_002142,宁波银行,40.26,40.55,0.77%
37,cn_600887,伊利股份,37.83,38.5,2.01%
38,cn_002138,顺络电子,33.95,32.76,-3.56%
39,cn_002223,鱼跃医疗,33.71,33.35,-2.00%
40,cn_600588,用友网络,33.68,32.98,-3.48%
41,cn_600511,国药股份,33.49,33.52,0.21%
42,cn_000063,中兴通讯,32.48,31.97,-0.87%
43,cn_603535,嘉诚国际,32.02,32.26,-0.19%
44,cn_300059,东方财富,30.71,28.83,-6.55%
45,cn_300876,蒙泰高新,30.5,30.28,-0.66%
46,cn_688003,天准科技,29.85,29.8,-0.17%
47,cn_603353,和顺石油,29.8,29.8,0.51%
48,cn_600859,王府井,29.2,29.1,-0.61%
49,cn_600031,三一重工,27.64,26.92,-4.20%
50,cn_603019,中科曙光,27.48,27.08,-1.63%
51,cn_002555,三七互娱,26.53,25.68,-3.17%
52,cn_000915,华特达因,25.92,25.57,-1.46%
53,cn_002158,汉钟精机,25.48,23.88,-6.28%
54,cn_000002,万科Ａ,24.75,24.96,0.81%
55,cn_600030,中信证券,24.52,24.65,0.28%
56,cn_002088,鲁阳节能,21.88,20.66,-5.58%
57,cn_002080,中材科技,21.04,20.24,-3.76%
58,cn_601166,兴业银行,20.85,20.89,-0.14%
59,cn_002156,通富微电,20.48,20.6,0.59%
60,cn_002254,泰和新材,19.68,18.82,-3.83%
61,cn_002362,汉王科技,19.01,18.61,-2.26%
62,cn_300418,昆仑万维,18.11,17.93,-1.32%
63,cn_002163,海南发展,17.5,17.5,-0.96%
64,cn_000668,荣丰控股,17.18,17.51,1.68%
65,cn_002189,中光学,16.85,16.81,-0.24%
66,cn_000301,东方盛虹,16.73,15.99,-4.71%
67,cn_300149,睿智医药,16.65,16.04,-3.08%
68,cn_600998,九州通,16.28,16.29,-0.43%
69,cn_600926,杭州银行,15,14.93,-0.20%
70,cn_002039,黔源电力,14.33,14.12,-1.40%
71,cn_600380,健康元,13.65,13.53,-0.88%
72,cn_600956,新天绿能,12.85,11.93,-6.21%
73,cn_002185,华天科技,12.83,12.64,-1.33%
74,cn_601360,三六零,12.49,12.46,-0.32%
75,cn_002064,华峰化学,12.39,11.95,-2.61%
76,cn_601236,红塔证券,12.3,12.46,0.81%
77,cn_002152,广电运通,12.09,11.86,-2.79%
78,cn_002056,横店东磁,12.05,11.96,-0.83%
79,cn_002856,美芝股份,12.04,12.01,-0.08%
80,cn_300030,阳普医疗,11.71,11.68,-0.26%
81,cn_002202,金风科技,11.7,11.49,-1.96%
82,cn_600088,中视传媒,11.27,11.27,-0.27%
83,cn_600409,三友化工,10.7,10.23,-4.93%
