按照评分排序
序号,点坐标,股票名称,股票评分
1,52,海康威视,9.3
2,38,华熙生物,8.8
3,47,徐工机械,8.6
4,33,芯能科技,8.6
5,30,中芯国际,8.5
6,32,三一重工,8.5
7,12,药明康德,8.5
8,34,隆基股份,8.5
9,36,晨光文具,8.5
10,51,美的集团,8.5
11,8,中信证券,8.5
12,44,格力电器,8.3
13,42,片仔癀,8.3
14,57,卓胜微,8.2
15,20,科大讯飞,8.1
16,18,用友网络,8.1
17,31,天准科技,8
18,1,中国石化,8
19,27,海天味业,8
20,54,智飞生物,8
21,43,宁德时代,8
22,39,晶方科技,8
23,28,中科曙光,8
24,41,老凤祥,7.9
25,46,比亚迪,7.8
26,49,苏泊尔,7.8
27,45,紫光国微,7.8
28,48,拓日新能,7.8
29,58,鱼跃医疗,7.7
30,14,爱尔眼科,7.6
31,21,深信服,7.6
32,40,闻泰科技,7.6
33,22,三七互娱,7.6
34,7,兴业银行,7.5
35,19,三六零,7.5
36,59,汉王科技,7.5
37,29,恒瑞医药,7.3
38,16,芒果超媒,7.2
39,11,东方财富,7.1
40,4,中国建筑,7
41,35,万华化学,7
42,2,三峡能源,7
43,9,工商银行,7
44,50,长春高新,7
45,3,万科Ａ,7
46,5,南方航空,7
47,26,伊利股份,7
48,23,昆仑万维,7
49,17,浙大网新,6.9
50,6,招商银行,6.9
51,56,云南白药,6.8
52,60,分众传媒,6.7
53,55,爱美客,6.7
54,53,中兴通讯,6.6
55,37,宝钢股份,6.5
56,13,国药股份,6.5
57,25,福耀玻璃,6
58,15,中视传媒,6
59,10,宁波银行,6
60,24,贵州茅台,4.7

